,id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x7_log,Fat1,Fat2,Fat3,Fat4,Fat5
0,1,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Direto,"8,5","3,9","2,5","5,9","4,8","4,9","6,0","6,8","4,7","4,3","5,0","5,1","3,6999999999999997","8,2","8,0","8,4","65,1",Sim,"1,3609765531356006","0,22318526419378876","0,2364921975135166","-1,8984134035296585","0,7696008855417824","-0,5811445426826571"
1,2,Acima de 5 Anos,Indústria de Jornal,Pequena (0 to 499),USA/América do Norte,Indireto,"8,2","2,7","5,1","7,2","3,4","7,8999999999999995","3,1","5,3","5,5","4,0","3,9","4,300000000000001","4,9","5,7","6,5","7,5","67,1",Não,"0,9932517730102834","1,2692560214136053","0,7934555994988068","-0,6487546640189931","-1,701354721835939","-0,7658689365532804"
2,3,Acima de 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Direto,"9,2","3,4","5,6","5,6","5,4","7,3999999999999995","5,8","4,5","6,2","4,6","5,4","4,0","4,5","8,9","8,4","9,0","72,1",Sim,"1,2237754316221157","0,7029881870857371","1,4700558911825705","-0,00846142729515386","0,6148351303299094","-0,22115261815511372"
3,4,Menos de 1 Ano,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"6,4","3,3000000000000003","7,0","3,7","4,7","4,699999999999999","4,5","8,8","7,0","3,6","4,3","4,1","3,0","4,8","6,0","7,2","40,1",Não,"1,1939224684724346","-0,9748959073531867","-1,0041908511119757","1,294691107000772","-0,2331572922928658","-0,737579643312238"
4,5,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),USA/América do Norte,Direto,"9,0","3,4","5,2","4,6","2,2","6,0","4,5","6,8","6,1","4,5","4,5","3,5","3,5","7,1","6,6","9,0","57,1",Não,"1,2237754316221157","-0,36490159593938815","0,5808116088481816","-0,04775986197181335","-0,7641471432097101","-0,544002195123791"
5,6,Menos de 1 Ano,Indústria de Jornal,Pequena (0 to 499),Fora da América do Norte,Indireto,"6,5","2,8","3,1","4,1","4,0","4,3","3,7","8,5","5,1","9,5","3,6","4,7","3,3","4,7","6,3","6,1","50,1",Não,"1,0296194171811581","-0,860875955862777","-0,9475664497762809","-1,190241821112183","-1,1354522897852128","3,049672309089756"
6,7,Menos de 1 Ano,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"6,9","3,7","5,0","2,6","2,1","2,3","5,4","8,9","4,8","2,5","2,1","4,2","2,0","5,7","7,8","7,2","41,1",Não,"1,308332819650179","-2,5639310973614746","-1,2132854659072714","-0,6204525805411922","-0,23277010935544645","-1,8504081406760873"
7,8,Entre 1 e 5 Anos,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"6,2","3,3000000000000003","3,9","4,8","4,6","3,5999999999999996","5,1","6,9","5,4","4,8","4,3","6,300000000000001","3,6999999999999997","6,3","5,8","7,7","56,1",Não,"1,1939224684724346","-0,1161034603600507","-1,3621681122437155","-0,7139471076367259","-0,24781008724694747","-0,08370680745717808"
8,9,Entre 1 e 5 Anos,Indústria de Jornal,Grande (500+),Fora da América do Norte,Indireto,"5,8","3,6","5,1","6,7","3,7","5,9","5,8","9,3","5,9","4,4","4,4","6,1","4,6000000000000005","7,0","7,5","8,2","56,1",Sim,"1,2809338454620642","0,9488006207625719","-1,477041002742932","-0,08100806494879298","-0,12117171831070163","-0,5996578001327951"
9,10,Menos de 1 Ano,Indústria de Revista,Grande (500+),Fora da América do Norte,Indireto,"6,4","4,5","5,1","6,1","4,7","5,699999999999999","5,7","8,4","5,4","5,3","4,1","5,800000000000001","4,4","5,5","5,9","6,7","59,1",Não,"1,5040773967762742","0,4010900166958775","-0,8578408063653443","-0,4469779904482806","0,7619471212174331","-0,05449962903609575"
