,RespondentID,Sexo,Idade,Graduacao,Graduacao_Outro,IES_Graduacao,Lato1,Lato2,Lato3,Lato4,Lato5,IES_Lato1,IES_Lato2,IES_Lato3,IES_Lato4,IES_Lato5,Destino_Profissional,Destino_Profissional_Outro,MESTRADO_IES,MESTRADO_IES_Outro,Area_Mestrado,Atuacao_Docente_Antes_Mestrado,Tempo_Entre_Graduacao_Mestrado,Regime_Dedicacao_Mestrado,Atuacao_Docente_Durante_Mestrado,Tipo_IES_Atuacao_Mestrado,Regime_Dedicacao_Docente_Mestrado,Tempo_Atuacao_Docente_Mestrado,Mestrado_Ativ_Aprendizagem_Pesq_Cientifica,Mestrado_Ativ_Aprendizagem_Sala_Aula,Mestrado_Ativ_Aprendizagem_Leitura,Mestrado_Ativ_Aprendizagem_Estagio,Mestrado_Ativ_Aprendizagem_Informais,Mestrado_Ativ_Aprendizagem_Outros,DOUTORADO_IES,DOUTORADO_IES_Outro,Area_Doutorado,Atuacao_Docente_Antes_Doutorado,Tempo_Entre_Mestrado_Doutorado,Regime_Dedicacao_Doutorado,Atuacao_Docente_Durante_Doutorado,Tipo_IES_Atuacao_Doutorado,Regime_Dedicacao_Docente_Doutorado,Tempo_Atuacao_Docente,Doutorado_Ativ_Aprendizagem_Pesq_Cientifica,Doutorado_Ativ_Aprendizagem_Sala_Aula,Doutorado_Ativ_Aprendizagem_Leitura,Doutorado_Ativ_Aprendizagem_Estagio,Doutorado_Ativ_Aprendizagem_Informais,Doutorado_Ativ_Aprendizagem_Outros,APC1,APC2,APC3,APC4,APC5,APC_OUTRO,ADSA1,ADSA2,ADSA3,ADSA4,ADSA_OUTRO,ALAT1,ALAT2,ALAT3,ALAT4,ALAT_OUTRO,AEE1,AEE2,AEE3,AEE_OUTRO,AI1,AI2,AI_OUTRO,AD1,AD2,AD3,AD4,AD_OUTRO,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,Fat1,Fat2,Fat3,Fat4,Fat5,Fat6
0,1812836846,2,40,1,,1,ESTATÍSTICA,MARKETING,,,,UFU,UFU,,,,1,,3,,MARKETING,2,4,1,2,"2,0","1,0","3,0",,"2,0","3,0",,"5,0",,,,,,,,,,,,,,,,,,"1,0","2,0","5,0","4,0","1,0",,"4,0","4,0","4,0","3,0",,"4,0","4,0","4,0","4,0",,"1,0","1,0","1,0",,"4,0","3,0",,"2,0","4,0","1,0","1,0",,"4,0","4,0","3,0","4,0","4,0","4,0","4,0","4,0","4,0","5,0","5,0","4,0","4,0","5,0","4,0","4,0","3,0","4,0","4,0","3,0","4,0","4,0","4,0","3,0","-0,1277550513099957","-2,304441384630087","0,41851954290304255","-0,4181578586390954","0,00609960970571444","1,1802560063899656","-0,9986024286149449","-0,11008953678187666","-0,4765823762623572","-2,504878638594322","0,6208660010003292","1,1877222523724307","-0,7550126261199185"
1,1811173769,2,44,0,Engenharia Civil,2,Administração de RH,,,,,,,,,,1,,1,,Relações de poder e dinâmica das organizações,1,4,1,1,"1,0","3,0","5,0","1,0","2,0","3,0",,,,,,,,,,,,,,,,,,,,"3,0","3,0","5,0","5,0","2,0",,"5,0","5,0","5,0","4,0",,"4,0","4,0","5,0","5,0",,"2,0","5,0","1,0",,"5,0","5,0",,"4,0","4,0","5,0","5,0",,"5,0","5,0","5,0","4,0","4,0","5,0","5,0","5,0","4,0","5,0","4,0","4,0","4,0","4,0","5,0","5,0","4,0","5,0","5,0","4,0","4,0","3,0","3,0","2,0","0,8603132492438729","-1,4864627891260878","0,36559980953626653","3,0537693545375038","0,9202565583019711","1,0196302132474837","-0,00960623296281928","1,2268348582263557","3,4333287503292","-1,468316394945596","0,7029210307518287","0,8772827790645769","-0,4828779460586966"
2,1806566000,1,29,0,Enfermagem,2,Enfermagem do Trabalho,,,,,,,,,,2,,1,,Organização e Estratégia,1,3,1,1,"2,0","1,0","3,0","1,0","2,0","3,0",,,,,,,,,,,,,,,,,,,,"5,0","5,0","5,0","4,0","1,0",,"4,0","5,0","4,0","5,0",,"4,0","4,0","4,0","4,0",,"5,0","1,0","1,0",,"5,0","5,0",,"5,0","5,0","1,0","1,0",,"4,0","5,0","5,0","3,0","4,0","3,0","4,0","4,0","3,0","5,0","4,0","1,0","4,0","4,0","3,0","5,0","5,0","5,0","1,0","1,0","1,0","4,0","4,0","5,0","0,285949171432049","0,9648774143081997","1,7712314776151104","-0,8972912647702266","-1,4069014786061513","0,6021863748024907","-0,5913686695900073","-0,48760722134346246","-1,2124195705162966","0,5207780777051575","1,3943317410814229","1,0637238365658475","1,0582617381873751"
3,1806534973,2,36,1,,2,,,,,,,,,,,2,,1,,Administração,1,3,2,1,"2,0","1,0","2,0",,"2,0",,,,,,,,,,,,,,,,,,,,,"4,0","4,0","4,0","4,0","4,0",,"4,0","4,0","4,0","4,0",,"3,0","5,0","5,0","4,0",,"1,0","3,0","2,0",,"4,0","1,0",,"2,0","4,0","2,0","1,0",,"5,0","4,0","4,0","4,0","4,0","5,0","5,0","5,0","4,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","-0,18389282565025716","0,2344573223875275","-0,08127206766806272","-0,2518263244935022","-0,11734015446255752","0,24926214929226997","0,19968010275735576","-0,13626143387523287","-0,23155935550532333","0,4148958053710249","-0,13341059746751877","-0,1664855217665711","0,31711655111876774"
4,1804698731,1,26,1,,1,,,,,,,,,,,2,,2,,Administração,2,1,2,3,,,,"1,0","2,0","3,0",,,Programa de Docência Voluntária,,,,,,,,,,,,,,,,,"5,0","4,0","5,0","5,0","4,0",,"4,0","4,0","4,0","4,0",,"5,0","5,0","4,0","4,0",,"4,0","4,0","1,0",,"4,0","4,0",,"3,0","4,0","2,0","2,0",,"4,0","4,0","4,0","3,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","5,0","4,0","3,0","3,0","4,0","4,0","4,0","4,0","5,0","3,0","4,0","4,0","4,0","-0,9531423419404962","0,982444920128352","0,21481661458247583","0,44605601001909523","1,0556899272396816","0,9096052886728362","-0,3360873407026544","-0,4789617770014404","0,5810923671671224","1,2274202317783818","0,6368440125722138","0,7746155946431987","-1,2142559276972251"
5,1804664152,2,41,0,Análise de Sistemas,2,,,,,,,,,,,4,,1,,"Informática, Área Administrativa, Eletrotécnica",3,1,1,3,"1,0",,,"1,0","2,0","3,0",,,"Avaliação de Banners, semana interdisciplinar",,,,,,,,,,,,,,,,,"3,79","4,0","4,0","3,7551020408163267","2,75",,"4,0","3,0","4,0","3,0",,"4,0","4,0","4,0","4,0",,"3,0","2,5555555555555554","1,5204081632653061",,"3,0","2,0",,"4,0","3,0","1,5252525252525253","1,5353535353535352",,"3,0","4,0","4,0","4,0","4,0","3,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","4,0","2,0","3,0","4,0","1,0","4,0","4,0","4,0","5,0",,,,,,,,"-0,6867882360461334","-0,03697535827392066","0,4541404120196745","-0,34716320275134105","-0,01640622906539089","0,3471433140725113"
6,1803400973,1,50,0,Biblioteconomia,1,Comunicação e Tecnoligia,,,,,UNI-BH,,,,,4,,1,,Administração,1,5,1,2,"2,0","1,0","1,0","1,0","2,0","3,0",,"5,0",,,,,,,,,,,,,,,,,,"5,0","4,0","5,0","4,0","4,0",,"5,0","5,0","5,0","4,0",,"5,0","5,0","5,0","5,0",,"4,0","1,0","1,0",,"4,0","3,0",,"4,0","5,0","1,0","1,0",,"4,0","4,0","4,0","3,0","4,0","5,0","4,0","5,0","5,0","5,0","5,0","5,0","4,0","5,0","5,0","5,0","5,0","5,0","5,0","4,0","5,0","4,0","4,0","5,0","1,197063734345296","0,9693114483625908","0,7045769856988093","-0,7357195312195653","-0,2716234822071578","0,3929760618058611","-1,114371493916297","0,7298221284080516","-1,0504002443237643","0,5838156720552593","0,7665736379487499","0,7828756977469842","0,09004686105382229"
7,1799601231,2,53,1,,2,,,,,,,,,,,5,,1,,Administração,2,3,1,3,,,,"1,0","2,0","3,0",,,,,,,,,,,,,,,,,,,,"5,0","4,0","5,0","4,0","3,0",,"4,0","4,0","5,0","4,0",,"5,0","4,0","4,0","4,0",,"3,0","1,0","3,0",,"4,0","3,0",,"3,0","4,0","2,0","2,0",,"4,0","5,0","4,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","4,0","5,0","4,0","5,0","5,0","5,0","5,0","4,0","4,0","3,0","5,0","4,0","5,0","5,0","-0,24146935652145654","0,44766792940798605","0,30148787331597154","0,00131924868437552","-0,01843940130044433","0,46214730976529855","0,43227402451218994","-0,29924991933629536","0,14648829664081278","0,5596604963062878","0,4202967912893612","0,39454334960704335","0,21466631173197845"
8,1799352846,1,34,0,ENFERMAGEM,1,ADMINISTRAÇÃO HOSPITALAR,,,,,FACULDADE SÃO CAMILO,,,,,2,,1,,ADMINISTRAÇÃO,1,4,1,1,"2,0","1,0","2,0","1,0",,"3,0",,,,,,,,,,,,,,,,,,,,"3,0","4,0","4,0","4,0","3,0",,"5,0","5,0","5,0","3,0",,"5,0","5,0","5,0","5,0",,"2,0","1,0","1,0",,"5,0","4,0",,"4,0","4,0","1,0","1,0",,"4,0","4,0","4,0","3,0","4,0","3,0","3,0","4,0","3,0","4,0","4,0","4,0","4,0","5,0","4,0","3,0","5,0","5,0","4,0","2,0","4,0","4,0","4,0","4,0","1,4969702061488264","-0,6007855062171938","0,822015610543983","-0,26060653752946966","0,4856469206941041","-0,3272687092353955","-1,2852929524244847","1,3376316726177881","-0,5353797786160178","-0,9583583153962058","1,0630761810376115","-0,01363870947139484","-0,3931886138745245"
9,1798109776,1,35,3,,2,,,,,,,,,,,2,,1,,GESTÃO PESSOAS E RELAÇÕES DE TRABALHO,2,4,2,2,"2,0","2,0","1,0","1,0","2,0","3,0","4,0",,,,,,,,,,,,,,,,,,,"5,0","5,0","3,0","5,0","1,0",,"5,0","5,0","5,0","5,0",,"5,0","5,0","5,0","5,0",,"1,0","5,0","1,0",,"5,0","1,0",,"5,0","5,0","1,0","1,0",,"5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","5,0","4,0","4,0","5,0","4,0","5,0","5,0","5,0","5,0","0,9934507740519755","-0,09761695468769689","0,38229683322864544","-1,0688443794283018","1,4150923598678151","-0,17660742735889515","0,9132260234792241","1,8645133321616585","-0,7985839873523386","0,33431283760888736","0,4429228402769115","-0,930216567825076","-0,013073661007774379"
